emotion,dopamine,serotonin,oxytocin,cortisol,norepinephrine,syn1,syn2,description
kinship,0.91,6.53,13.48,78.29,0.78,affinity,family relationship,"Kinship is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
longing,2.9,31.68,13.21,40.34,11.87,yearning,hungriness,"Longing is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
mischief,24.08,15.09,12.01,5.38,43.44,mischief-making,mischievousness,"Mischief is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
openness,55.66,5.83,21.39,12.15,4.98,nakedness,receptiveness,"Openness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
panic,33.46,18.72,7.09,14.79,25.94,terror,affright,"Panic is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
quiescence,18.91,43.29,32.51,3.0,2.28,dormancy,quiescency,"Quiescence is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
resentment,26.72,29.31,30.5,2.89,10.58,bitterness,gall,"Resentment is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
triumph,14.02,8.75,21.55,10.75,44.94,victory,prevail,"Triumph is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
unease,22.67,21.85,40.68,12.72,2.08,malaise,uneasiness,"Unease is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
wistfulness,1.04,3.6,7.07,78.79,9.5,longing,pensiveness,"Wistfulness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
exuberance,7.4,5.58,6.95,21.13,58.93,enthusiasm,ebullience,"Exuberance is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
gloom,34.63,6.31,2.24,4.81,52.01,somberness,sombreness,"Gloom is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
detachment,3.43,6.67,41.56,14.99,33.35,withdrawal,disengagement,"Detachment is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
forbearance,3.39,37.24,30.72,4.17,24.48,patience,longanimity,"Forbearance is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
bliss,2.65,18.35,48.52,9.48,21.0,blissfulness,cloud nine,"Bliss is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
drive,14.91,4.03,11.31,64.46,5.3,thrust,driving force,"Drive is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
elation,4.29,63.84,15.35,7.67,8.84,high spirits,lightness,"Elation is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
fatigue,14.12,27.23,25.28,29.68,3.68,weariness,tiredness,"Fatigue is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
generosity,48.35,5.88,5.91,32.54,7.32,generousness,unselfishness,"Generosity is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
hurt,27.39,38.69,2.18,29.91,1.84,injury,harm,"Hurt is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
illumination,0.37,6.76,38.21,43.99,10.66,light,clarification,"Illumination is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
joviality,12.63,5.93,5.54,44.97,30.92,jollity,jolliness,"Joviality is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
kindness,0.37,25.09,34.41,30.49,9.64,forgivingness,benignity,"Kindness is a nuanced emotion that surfaces in particular moments, shaping thoughts, behaviors, relationships, insights, and personal growth for many."
